行政區,路名,段、號及其他註明,經度,緯度,備註
大同區,重慶北路,2段涼州街口站牌,121.5133333,25.06166667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段涼州街口站牌,121.5133333,25.06138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段涼州街口站牌,121.5136111,25.06111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,二段涼州街口(公車專用道),121.5136111,25.06083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段涼州街口公車專用道,121.5136111,25.06111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段涼州街口西南側,121.5133333,25.06027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,二段民生西路口(公車專用道),121.5138889,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段民生西路口公車專用道,121.5136111,25.05722222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段64巷口,121.5136111,25.05583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,2段32號,121.5141667,25.05527778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段116號,121.5144444,25.05361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段92號,121.5141667,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段62號,121.5141667,25.05222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段26號,121.5138889,25.05055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段24號,121.5138889,25.05055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,1段鄭州路口,121.5136111,25.04972222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,1段53號,121.5119444,25.05111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,二段17號,121.5116667,25.05472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,2段217號,121.5111111,25.05972222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,二段255號前(大樹下),121.5113889,25.0625,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,2段286號,121.5111111,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,一段80號,121.5119444,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,一段26號,121.5119444,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,市民大道口捷運北門站2號出口,121.5102778,25.04944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,塔城公園,121.5108333,25.05083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,36號對面公車站牌,121.5105556,25.05166667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,24號前(電信局),121.5111111,25.05083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,市民大道口捷運北門站1號出口,121.51,25.04888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,塔城街,市民大道口捷運北門站3號出口,121.5102778,25.05,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,鄭州路,26巷口旁,121.5088889,25.05027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,鄭州路,145號中興醫院東側,121.5094444,25.05055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,鄭州路,145號中興醫院西側,121.5086111,25.05055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,西寧北路,中興醫院站牌,121.5086111,25.05138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,西寧北路,中興醫院急診室車道右側,121.5086111,25.05138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,西寧北路,32號(忠孝國中),121.5086111,25.05138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,西寧北路,32號(忠孝國中南側),121.5083333,25.05111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,350號,121.5113889,25.05388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,南京西路,301號西寧北路口,121.5086111,25.05361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,長安西路,298號,121.5125,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,長安西路,303號對面大樹下,121.5077778,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,146號(98型),121.5161111,25.06305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,136號,121.5161111,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,102巷公車專用道內,121.5180556,25.0625,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,民權西路口承德路二段206號(98型),121.5180556,25.06194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段168號(98型),121.5180556,25.06111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段152號,121.5180556,25.06,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,承德路民生西路149號旁天橋下,121.5177778,25.0575,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,民生西路160號承德路口天橋下,121.5183333,25.0575,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段54號,121.5180556,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段2號,121.5180556,25.055,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,1段40號,121.5175,25.05138889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,1段原台汽站前,121.5169444,25.04916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,1段原台汽站前,121.5002778,25.04972222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,台北車站,天橋(98型),121.5163889,25.04916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,台北車站,天橋(98型),121.5166667,25.04888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段143號,121.5183333,25.05777778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段209號,121.5180556,25.05916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,2段成淵高中前公車站牌,121.5180556,25.06055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
